"home_team","home_off_pass_ypg","home_def_pass_ypg","home_off_rush_ypg","home_def_rush_ypg","home_off_ppg","home_def_ppg","home_win_pct","away_off_pass_ypg","away_def_pass_ypg","away_off_rush_ypg","away_def_rush_ypg","away_off_ppg","away_def_ppg","away_win_pct","played","away_team.x","home_alias","away_alias","homePts","awayPts","winner","totalPts","home_passing_yards","away_passing_yards","home_rushing_yards","away_rushing_yards","week","season","fk","predicted_winner_rf","home_win_P","predicted_spread","predicted_winner_lm","predicted_winner_logR","away_team.y","vegas_spread","homePts_act","awayPts_act","winner_act","predicted_winner_maj_vote","matchup","abs_spread"
"Bengals",222.090909090909,250.909090909091,81.0909090909091,162,14.2727272727273,26.2727272727273,0,188.545454545455,243,73.7272727272727,78.1818181818182,18,23.4545454545455,0.363636363636364,FALSE,"Jets","CIN","NYJ",0,0,"0",0,0,0,0,0,13,2019,"Bengals_Jets_13_2019","away",0.483712397813766,-2.31640887840028,"away","away","Jets",-2.5,"22","6","home","away","Bengals/Jets",0.183591121599722
"Cardinals",226.181818181818,297.545454545455,117.727272727273,117.636363636364,22.5454545454545,28.8181818181818,0.318181818181818,268.9,235.5,97.6,89.1,24.3,19.8,0.6,FALSE,"Rams","ARI","LA",0,0,"0",0,0,0,0,0,13,2019,"Cardinals_Rams_13_2019","away",0.445618261447735,-2.09031941553957,"away","away","Rams",-2.5,"7","34","away","away","Cardinals/Rams",0.40968058446043
"Cowboys",284.272727272727,197.181818181818,119.909090909091,95.6363636363636,26,17.9090909090909,0.590909090909091,214,187.272727272727,137.545454545455,104.363636363636,21,15.7272727272727,0.727272727272727,FALSE,"Bills","DAL","BUF",0,0,"0",0,0,0,0,0,13,2019,"Cowboys_Bills_13_2019","home",0.708788840301184,6.04278194295559,"home","home","Bills",6.5,"15","26","away","home","Cowboys/Bills",0.457218057044413
"Ravens",225.5,238.6,203.1,94.3,34.1,19.6,0.8,237.6,142.5,149,110.5,29.5,15.5,0.9,FALSE,"49ers","BAL","SF",0,0,"0",0,0,0,0,0,13,2019,"Ravens_49ers_13_2019","home",0.715051856694318,4.6577314629602,"home","home","49ers",5.5,"20","17","home","home","Ravens/49ers",0.842268537039802
"Jaguars",227.909090909091,199.363636363636,108.727272727273,122.363636363636,17.1818181818182,20.1818181818182,0.409090909090909,288.090909090909,285.636363636364,97,78.7272727272727,27.7272727272727,29.9090909090909,0.363636363636364,FALSE,"Buccaneers","JAC","TB",0,0,"0",0,0,0,0,0,13,2019,"Jaguars_Buccaneers_13_2019","home",0.519321092933836,-0.616168219525232,"away","home","Buccaneers",-3,"11","28","away","home","Jaguars/Buccaneers",2.38383178047477
"Panthers",220.272727272727,231.363636363636,123.454545454545,126.818181818182,23.4545454545455,26.1818181818182,0.454545454545455,164.636363636364,230.545454545455,84.8181818181818,137.636363636364,12.5454545454545,24.4545454545455,0.0909090909090909,FALSE,"Redskins","CAR","WAS",0,0,"0",0,0,0,0,0,13,2019,"Panthers_Redskins_13_2019","home",0.743454586190999,7.80611809704492,"home","home","Redskins",10.5,"21","29","away","home","Panthers/Redskins",2.69388190295508
"Steelers",200.636363636364,217.181818181818,83.5454545454545,103.454545454545,19.3636363636364,19.2727272727273,0.545454545454545,230,211,121.636363636364,121.818181818182,20.5454545454545,22.2727272727273,0.454545454545455,FALSE,"Browns","PIT","CLE",0,0,"0",0,0,0,0,0,13,2019,"Steelers_Browns_13_2019","home",0.588145309170394,1.69640263294073,"home","home","Browns",-1,"20","13","home","home","Steelers/Browns",2.69640263294073
"Seahawks",247.272727272727,257.636363636364,136.545454545455,101.545454545455,26.5454545454545,23.3636363636364,0.818181818181818,236.181818181818,244.454545454545,142.454545454545,94.1818181818182,26.2727272727273,18.6363636363636,0.727272727272727,FALSE,"Vikings","SEA","MIN",0,0,"0",0,0,0,0,0,13,2019,"Seahawks_Vikings_13_2019","home",0.651162142935844,5.20303554903423,"home","home","Vikings",2.5,"37","30","home","home","Seahawks/Vikings",2.70303554903423
"Giants",216.818181818182,259.363636363636,95.5454545454545,117.818181818182,19.7272727272727,28,0.181818181818182,253.9,257.8,102.1,126.9,25,20.5,0.8,FALSE,"Packers","NYG","GB",0,0,"0",0,0,0,0,0,13,2019,"Giants_Packers_13_2019","away",0.357711793829078,-3.11034329211041,"away","away","Packers",-6.5,"13","31","away","away","Giants/Packers",3.38965670788959
"Broncos",195.272727272727,208,110.545454545455,111.909090909091,15.9090909090909,19.7272727272727,0.272727272727273,276.909090909091,205.272727272727,86.7272727272727,112.272727272727,20.3636363636364,19.8181818181818,0.363636363636364,FALSE,"Chargers","DEN","LAC",0,0,"0",0,0,0,0,0,13,2019,"Broncos_Chargers_13_2019","home",0.538176844553312,-0.842621154625331,"away","home","Chargers",-4.5,"23","20","home","home","Broncos/Chargers",3.65737884537467
"Texans",244.727272727273,259.272727272727,136.909090909091,108.090909090909,24.0909090909091,22.6363636363636,0.636363636363636,244.454545454545,138.727272727273,82.7272727272727,88.4545454545455,26.0909090909091,9.81818181818182,0.863636363636364,FALSE,"Patriots","HOU","NE",0,0,"0",0,0,0,0,0,13,2019,"Texans_Patriots_13_2019","away",0.593634453509394,0.609089504645837,"home","home","Patriots",-3.5,"28","22","home","away","Texans/Patriots",4.10908950464584
"Falcons",294.181818181818,266.363636363636,72.9090909090909,108.636363636364,21.4545454545455,26.3636363636364,0.272727272727273,252.181818181818,231.545454545455,107.818181818182,86.4545454545455,24.4545454545455,20.8181818181818,0.818181818181818,FALSE,"Saints","ATL","NO",0,0,"0",0,0,0,0,0,13,2019,"Falcons_Saints_13_2019","away",0.424076288660906,-2.00020544606837,"away","away","Saints",-7,"18","26","away","away","Falcons/Saints",4.99979455393163
"Dolphins",198.181818181818,252.727272727273,61,145.636363636364,14.1818181818182,30.8181818181818,0.181818181818182,206.090909090909,230.545454545455,121.181818181818,93.6363636363636,21.5454545454545,22.4545454545455,0.454545454545455,FALSE,"Eagles","MIA","PHI",0,0,"0",0,0,0,0,0,13,2019,"Dolphins_Eagles_13_2019","away",0.372168304510625,-4.0101849140967,"away","away","Eagles",-10.5,"37","31","home","away","Dolphins/Eagles",6.4898150859033
"Chiefs",301.727272727273,232.636363636364,94.3636363636364,143.090909090909,28,23.2727272727273,0.636363636363636,234.090909090909,266.818181818182,122.818181818182,104.454545454545,20.7272727272727,25.8181818181818,0.545454545454545,FALSE,"Raiders","KC","OAK",0,0,"0",0,0,0,0,0,13,2019,"Chiefs_Raiders_13_2019","home",0.659237009928529,4.67954153509321,"home","home","Raiders",11.5,"40","9","home","home","Chiefs/Raiders",6.82045846490679
"Colts",195.272727272727,235,144.181818181818,97,22.1818181818182,20.5454545454545,0.545454545454545,187.454545454545,232.727272727273,102.909090909091,93.1818181818182,18.4545454545455,17.9090909090909,0.5,FALSE,"Titans","IND","TEN",0,0,"0",0,0,0,0,0,13,2019,"Colts_Titans_13_2019","home",0.711595649382516,7.03525574290458,"home","home","Titans",-1,"17","31","away","home","Colts/Titans",8.03525574290457
"Lions",272,272.636363636364,105.636363636364,119.636363636364,23.6363636363636,25.9090909090909,0.409090909090909,190.090909090909,216.181818181818,78.9090909090909,96.8181818181818,17.0909090909091,17.0909090909091,0.454545454545455,FALSE,"Bears","DET","CHI",0,0,"0",0,0,0,0,0,13,2019,"Lions_Bears_13_2019","home",0.656990748573368,4.14676158565781,"home","home","Bears",-5.5,"20","24","away","home","Lions/Bears",9.64676158565781
